Last inventory,Operating system,RAM (MB),CPU (MHz)
2022-10-19 12:35:34,Microsoft Windows 10 Pro,16384,3601
2022-10-27 09:43:04,Microsoft Windows 10 Pro,16384,3601
2019-10-09 08:27:52,Microsoft Windows 10 Pro,16384,3601
2020-04-28 11:35:57,Microsoft Windows 10 Pro,8192,3000
2022-10-27 11:14:39,Microsoft Windows 7 Professional,4096,2936
2022-10-27 08:52:23,Microsoft Windows 10 Pro,16384,3601
2019-03-25 08:02:04,Microsoft Windows XP Professional,2048,2493
2022-10-27 07:47:19,Microsoft Windows 7 Professional,4096,2936
2022-10-05 13:47:33,Microsoft Windows 7 Professional,4096,2408
2022-06-29 11:37:16,Microsoft Windows 7 Professional,3072,2933
2019-03-26 08:09:39,Microsoft Windows XP Professional,3261,2992
2022-10-27 11:49:13,Microsoft Windows 8.1 Pro,3550,3200
2022-10-26 18:56:11,Microsoft Windows 10 Pro,16384,3601
2022-10-25 09:02:49,Microsoft Windows 10 Pro,16384,3301
2021-08-16 07:58:00,Microsoft Windows 7 Professional,3126,3192
2022-10-27 15:01:30,Microsoft Windows 10 Pro,8192,3601
2022-10-27 08:45:50,Microsoft Windows 10 Pro,16384,3601
2021-01-21 17:26:53,Microsoft Windows 10 Pro,16384,3601
2019-08-01 10:13:18,Microsoft Windows 7 Professional,2048,2926
2019-06-07 10:16:50,Microsoft Windows 7 Professional,2048,2926
2019-04-17 17:25:58,Microsoft Windows 7 Professional,6144,2600
2018-10-31 19:36:38,Microsoft Windows 7 Professional,4096,2400
2022-10-21 14:32:18,Microsoft Windows 7 Professional,1734,1100
2020-08-31 13:19:12,Microsoft Windows 7 Ultimate,2010,2400
2019-06-19 13:14:04,Microsoft Windows 7 Professional,4096,3000
2021-09-15 10:36:13,Microsoft Windows 7 Professional,2048,2926
2022-10-27 09:12:47,Microsoft Windows 7 Ultimate,1740,1100
2018-12-13 11:35:16,Microsoft Windows 7 Professional,2048,2926
2019-03-14 10:31:18,Microsoft Windows 7 Professional,8192,2993
2020-03-16 07:20:32,Microsoft Windows 7 Professional,8192,3001
2019-04-15 14:08:06,Microsoft Windows XP Professional,1024,2330
2022-10-27 15:04:40,Microsoft Windows 10 Pro,16384,3601
2020-05-06 06:53:33,Microsoft Windows XP Professional,2048,1800
2019-01-02 14:20:20,Microsoft Windows 7 Professional,4096,2700
2021-08-12 11:51:24,Microsoft Windows 7 Professional,2048,3192
2022-10-27 13:00:13,Microsoft Windows 7 Professional,2048,2133
2022-05-03 09:12:53,Microsoft Windows 7 Professional,2048,2133
2019-12-17 12:15:34,Microsoft Windows 7 Professional,2048,2700
2019-04-12 08:24:43,Microsoft Windows 7 Ultimate,2038,2592
2021-07-12 08:22:22,Microsoft Windows 7 Professional,3550,3200
2021-07-15 16:53:04,Microsoft Windows 7 Professional,2048,2926
2019-04-02 10:00:44,Microsoft Windows 7 Professional,2048,1596
2022-03-21 08:31:38,Microsoft Windows XP Professional,768,3192
2022-07-21 09:49:35,Microsoft Windows 7 Professional,4096,2936
2021-01-18 08:46:57,Microsoft Windows 7 Professional,2048,2933
2022-05-03 15:59:10,Microsoft Windows 7 Ultimate,2048,2327
2019-07-01 16:15:54,Microsoft Windows 7 Professional,2048,2926
2019-12-20 09:58:23,Microsoft Windows 7 Professional,1790,2800
2022-10-27 12:21:25,Microsoft Windows 7 Professional,4096,3100
2019-11-20 16:41:00,Microsoft Windows 10 Pro,5731,2496
2021-06-21 11:57:03,Microsoft Windows 8.1 Pro,4096,3400
2022-10-27 08:08:39,Microsoft Windows 8.1 Pro,3503,3400
2021-11-10 12:55:46,Microsoft Windows 10 Pro,16384,3601
2022-01-24 08:34:52,Microsoft Windows 10 Pro,16384,3601
2022-10-27 12:40:29,Microsoft Windows 7 Professional,3503,3400
2022-10-25 12:43:54,Microsoft Windows 7 Professional,4096,3100
2022-05-02 16:08:30,Microsoft Windows 7 Professional,2048,2133
2020-06-08 15:19:35,Microsoft® Windows Vista™ Business,2048,2933
2020-08-17 15:57:26,Microsoft Windows XP Professional,1024,3192
2022-10-27 08:00:06,Microsoft Windows 7 Professional,4096,3400
2019-08-26 15:13:22,Microsoft Windows 7 Professional,1502,3200
2022-07-20 08:07:51,Microsoft Windows 10 Pro,8192,3901
2020-05-12 13:24:28,Microsoft Windows XP Professional,1024,2194
2022-05-05 08:52:36,Microsoft Windows 10 Pro,4096,2700
2021-10-25 10:21:30,Microsoft Windows 7 Professional,4096,3400
2019-02-07 10:39:02,Microsoft Windows 7 Professional,4096,2992
2019-05-24 07:43:30,Microsoft Windows 7 Professional,4096,2992
2022-10-27 09:08:10,Microsoft Windows 7 Professional,4096,3100
2019-04-03 10:32:27,Microsoft Windows XP Professional,2048,3492
2021-08-31 08:11:39,Microsoft Windows 7 Professional,3012,3000
2022-10-27 08:18:24,Microsoft Windows 7 Professional,3509,3000
2022-10-26 09:55:35,Microsoft Windows 7 Professional,4096,3100
2022-10-18 16:56:30,Microsoft Windows 10 Pro,16384,3601
2022-10-26 10:09:50,Microsoft Windows 7 Professional,3490,3100
2022-10-27 08:24:03,Microsoft Windows 7 Professional,16384,3301
2022-10-27 13:05:21,Microsoft Windows 10 Pro,16384,3601
2022-03-11 06:18:27,Microsoft Windows 7 Professional,3509,3000
2022-02-09 18:13:42,Microsoft Windows 7 Professional,1024,2133
2022-10-27 08:05:24,Microsoft Windows 7 Professional,3025,3201
2021-05-06 08:34:05,Microsoft® Windows Vista™ Business,2048,2933
2019-04-15 15:43:29,Microsoft Windows 7 Professional,3038,3001
2021-02-12 17:16:50,Microsoft Windows 8.1 Pro,2782,3200
2019-10-15 15:06:48,Microsoft Windows 10 Pro,4096,3201
2020-07-23 09:02:45,Microsoft Windows 7 Professional,4096,2936
2019-07-18 16:19:44,Microsoft Windows 7 Professional,2048,2133
2022-10-27 11:43:28,Microsoft Windows 10 Pro,5731,3504
2019-02-28 10:29:18,Microsoft Windows 10 Pro,8192,2496
2022-10-11 11:36:39,Microsoft Windows 7 Professional,3509,3000
2020-01-09 13:26:48,Microsoft Windows 10 Pro,8192,2496
2022-10-25 08:03:13,Microsoft Windows 10 Pro,8192,2496
2022-01-07 18:02:44,Microsoft Windows 7 Professional,3509,3000
2022-03-02 16:42:35,Microsoft Windows 7 Professional,3509,3000
2021-09-01 08:05:58,Microsoft Windows 7 Professional,3509,3000
2022-10-26 16:06:26,Microsoft Windows 7 Professional,3509,3000
2022-10-27 14:32:13,Microsoft Windows 10 Pro,8192,2496
2022-10-27 13:23:44,Microsoft Windows 7 Professional,16384,3301
2022-10-27 15:25:20,Microsoft Windows 7 Professional,2501,3000
2021-09-02 08:25:33,Microsoft Windows 7 Professional,3509,3000
2022-10-27 08:14:37,Microsoft Windows 7 Professional,4096,3601
2022-05-30 13:23:14,Microsoft Windows 8.1 Pro,3550,3200
2022-10-21 15:28:54,Microsoft Windows 7 Professional,3490,3100
2021-10-05 09:30:09,Microsoft Windows 7 Professional,1502,3200
2020-05-30 15:12:06,Microsoft Windows 10 Pro,8192,2496
2022-07-14 08:51:58,Microsoft Windows 7 Professional,2048,2933
2022-08-02 16:26:33,Microsoft Windows 7 Professional,2048,2133
2022-10-27 14:06:34,Microsoft Windows 7 Professional,8192,3400
2022-08-15 13:45:09,Microsoft Windows 7 Professional,4096,3100
2022-10-26 10:04:45,Microsoft Windows 7 Professional,4096,3100
2022-10-27 09:34:34,Microsoft Windows 8.1 Pro,4096,3400
2022-10-27 13:33:18,Microsoft Windows 7 Professional,3509,3000
2022-10-27 11:08:37,Microsoft Windows 8.1 Pro,4096,3400
2022-10-27 13:44:19,Microsoft Windows 7 Professional,4096,3400
2022-10-27 09:23:07,Microsoft Windows 7 Professional,4096,3400
2022-10-27 08:14:13,Microsoft Windows 8.1 Pro,4096,3400
2022-08-18 06:42:46,Microsoft Windows 7 Professional,4096,3400
2020-12-15 16:02:43,Microsoft Windows 7 Professional,2048,2133
2021-08-06 08:51:00,Microsoft Windows 7 Professional,3509,3000
2022-10-26 15:44:11,Microsoft Windows 7 Professional,3012,3000
2022-10-25 11:53:10,Microsoft Windows 7 Professional,1790,3000
2022-09-30 13:20:46,Microsoft Windows 7 Professional,8192,3400
2022-10-27 10:06:17,Microsoft Windows 7 Professional,4096,3400
2022-10-27 08:00:36,Microsoft Windows 7 Professional,8192,3400
2021-01-12 19:48:34,Microsoft Windows 10 Pro,16384,3601
2022-10-26 09:49:02,Microsoft Windows 10 Pro,2738,2195
2022-08-05 07:34:23,Microsoft Windows 7 Professional,8192,3000
2019-04-05 11:24:19,Microsoft Windows 8 Professional Edition,15795,3592
2022-10-27 08:05:12,Microsoft Windows 10 Pro,16384,3601
2021-10-29 15:20:32,Microsoft Windows 7 Professional,3509,3000
2022-10-26 13:59:03,Microsoft Windows 10 Pro,16384,3601
2022-10-27 09:22:35,Microsoft Windows 7 Professional,3509,3000
2021-07-16 09:54:23,Microsoft Windows 7 Professional,3513,3000
2021-10-21 14:43:43,Microsoft Windows 8 Professional Edition,15795,3592
2022-08-31 09:03:07,Microsoft Windows 8 Professional Edition,15795,3592
2021-03-09 12:31:46,Microsoft Windows 7 Professional,4096,2936
2019-11-05 16:11:03,Microsoft Windows 7 Professional,4096,2936
2022-05-23 13:02:40,Microsoft Windows 7 Professional,4096,2936
2020-03-16 09:14:07,Microsoft Windows 7 Professional,4096,2936
2019-01-07 15:47:30,Microsoft Windows 7 Professional,4096,2936
2022-10-25 11:35:15,Microsoft Windows 7 Professional,16384,3301
2022-01-31 12:43:06,Microsoft Windows 7 Ultimate,4096,2936
2022-10-27 02:00:54,Microsoft Windows 10 Pro,16384,3601
2019-05-21 13:08:27,Microsoft Windows 7 Professional,3550,3200
2022-10-27 07:54:36,Microsoft Windows 7 Professional,6878,3200
2020-10-26 08:24:39,Microsoft Windows 7 Professional,8192,2701
2022-03-29 08:20:26,Microsoft Windows 8.1 Pro,8192,3200
2022-03-18 13:43:09,Microsoft Windows 7 Professional,6878,3200
2021-07-23 14:05:10,Microsoft® Windows Vista™ Business,2048,2933
2020-09-26 05:40:57,Microsoft Windows 8.1 Pro,3550,3200
2019-09-02 15:53:25,Microsoft Windows 7 Professional,2048,2133
2022-10-27 06:56:44,Microsoft Windows 7 Professional,16384,3301
2020-01-31 08:59:05,Microsoft Windows 7 Professional,16384,3301
2022-08-15 10:26:09,Microsoft Windows 7 Professional,8192,3200
2021-06-29 17:36:59,Microsoft Windows XP Professional,1024,2194
2018-09-26 08:25:46,Microsoft Windows 7 Professional,2048,2933
2022-08-12 08:55:14,Microsoft Windows 8.1 Pro,2782,3200
2022-10-27 11:11:14,Microsoft Windows 7 Professional Edition,3463,3700
2019-12-10 11:53:43,Microsoft Windows 7 Professional Edition,7646,3194
2022-10-27 08:06:02,Microsoft Windows 8.1 Pro,3550,3200
2020-08-28 08:38:09,Microsoft Windows 7 Professional,16384,3301
2021-07-16 10:44:29,Microsoft Windows 7 Professional,8192,3301
2022-10-27 07:59:56,Microsoft Windows 7 Professional,3550,3200
2020-12-21 08:37:07,Microsoft Windows 7 Professional,8192,3326
2022-10-27 08:05:23,Microsoft Windows 7 Professional,4096,3300
2019-10-15 07:33:35,Microsoft Windows 7 Professional,4096,2936
2021-05-24 16:23:30,Microsoft Windows 7 Professional,4096,2936
2022-10-27 08:11:19,Microsoft Windows 10 Pro,3505,3408
2019-06-17 12:22:39,Microsoft Windows XP Professional,1791,2712
2022-01-24 12:34:33,Microsoft Windows 7 Professional,4096,2936
2022-02-23 09:12:45,Microsoft Windows 7 Professional,4096,2936
2022-03-08 11:09:01,Microsoft Windows 7 Professional,4096,2936
2022-09-01 13:37:40,Microsoft Windows 10 Pro,16384,3601
2019-04-02 16:14:37,Microsoft Windows XP Professional,1024,2194
2019-05-27 12:46:14,Microsoft Windows XP Professional,1536,2194
2020-03-03 06:44:10,Microsoft Windows XP Professional,1536,2194
2021-01-20 18:29:42,Microsoft Windows 7 Professional,4096,2936
2022-06-27 09:22:00,Microsoft Windows 10 Pro,16384,3408
2022-03-07 10:03:36,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:08:05,Microsoft Windows 7 Professional,4096,3300
2019-12-06 08:14:56,Microsoft Windows 7 Professional,8192,3901
2022-10-27 12:43:42,Microsoft Windows 10 Pro,16384,3408
2022-10-26 06:35:39,Microsoft Windows 10 Pro,4096,3001
2019-05-30 15:55:53,Microsoft Windows 7 Professional,7107,3900
2022-10-27 13:44:35,Microsoft Windows 10 Pro,16384,3408
2020-11-03 08:56:45,Microsoft Windows 7 Professional,3488,3300
2021-09-10 13:55:07,Microsoft Windows 7 Professional,3550,3200
2019-03-07 17:55:30,Microsoft Windows 10 Pro,16384,3408
2022-10-27 14:37:44,Microsoft Windows 10 Pro,16384,3408
2022-10-25 10:33:25,Microsoft Windows 7 Professional,3550,3200
2022-10-27 12:43:09,Microsoft Windows 10 Pro,16384,3408
2022-10-27 14:16:50,Microsoft Windows 7 Professional,2782,3200
2022-10-27 14:58:19,Microsoft Windows 7 Professional,4096,3300
2020-06-05 14:35:55,Microsoft Windows 7 Professional,4096,3300
2022-10-27 08:29:17,Microsoft Windows 10 Pro,16384,3408
2022-10-27 14:59:54,Microsoft Windows 7 Professional,4096,2936
2022-01-04 12:17:05,Microsoft Windows 7 Professional,4096,2936
2022-10-27 13:14:48,Microsoft Windows 10 Pro,16384,3408
2022-10-14 10:46:46,Microsoft Windows 10 Pro,16384,3408
2022-10-27 13:11:12,Microsoft Windows 7 Professional,6878,3200
2022-10-27 12:31:49,Microsoft Windows 10 Pro,16384,3408
2019-12-10 07:46:46,Microsoft® Windows Vista™ Business,2048,2933
2022-10-27 08:08:23,Microsoft Windows 7 Professional,4096,3300
2022-10-27 12:23:34,Microsoft Windows 10 Pro,8192,3408
2022-10-27 07:58:23,Microsoft Windows 10 Pro,16384,3601
2022-03-02 12:20:58,Microsoft Windows 7 Professional,4096,3300
2022-05-26 08:44:46,Microsoft Windows 7 Professional,4096,2936
2022-01-26 10:40:44,Microsoft Windows 7 Professional,1791,1496
2022-10-27 13:04:13,Microsoft Windows 7 Professional,4096,2936
2022-10-27 08:14:34,Microsoft Windows 10 Pro,16384,3408
2022-10-14 09:01:09,Microsoft Windows 7 Professional,2048,2133
2022-10-27 08:46:32,Microsoft Windows 7 Professional,16384,3601
2022-10-27 10:52:05,Microsoft Windows 7 Professional,4096,2936
2022-10-27 07:58:05,Microsoft Windows 10 Pro,16384,3408
2022-08-11 13:46:24,Microsoft Windows XP Professional,1024,2793
2021-05-28 08:19:35,Microsoft Windows 7 Professional,4096,3300
2022-10-27 07:58:57,Microsoft Windows 10 Pro,8192,3408
2022-10-26 14:40:46,Microsoft Windows 10 Pro,8192,3408
2022-10-20 12:27:13,Microsoft Windows 7 Professional,2941,2936
2022-10-27 11:41:56,Microsoft Windows 7 Professional,2941,2936
2019-11-05 10:08:59,Microsoft Windows 7 Professional,4096,2936
2020-09-09 13:34:56,Microsoft Windows 7 Professional,4096,2936
2022-02-01 11:13:52,Microsoft Windows 7 Professional,4096,2936
2020-12-01 15:19:28,Microsoft Windows XP Professional,1024,2194
2022-05-03 15:45:35,Microsoft Windows 7 Professional,3579,3326
2020-10-21 13:49:09,Microsoft Windows 10 Pro,8192,3408
2022-10-25 19:15:09,Microsoft Windows 7 Professional,1791,1496
2022-10-27 14:19:10,Microsoft Windows 7 Professional,4096,3300
2022-10-27 14:32:10,Microsoft Windows 10 Pro,16384,3408
2022-05-18 08:16:23,Microsoft Windows 7 Professional,1791,1496
2022-10-27 14:26:21,Microsoft Windows 10 Pro,8192,3408
2022-10-13 07:24:20,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:08:56,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:06:07,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:12:25,Microsoft Windows 7 Professional,4096,3700
2022-10-27 11:05:43,Microsoft Windows 10 Pro,8192,3408
2022-07-08 14:02:49,Microsoft Windows 7 Professional,4096,2936
2022-10-27 13:09:40,Microsoft Windows 10 Pro,4096,3408
2022-10-27 15:27:14,Microsoft Windows 10 Pro,8192,3408
2022-10-27 11:35:30,Microsoft Windows 10 Pro,8192,3408
2019-04-29 12:57:56,Microsoft Windows 8 Professional Edition,8081,3408
2022-10-27 11:40:27,Microsoft Windows 10 Pro,8192,3408
2022-10-27 15:26:23,Microsoft Windows 7 Professional,4096,2936
2022-10-27 09:19:32,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:03:25,Microsoft Windows 10 Pro,8192,3408
2022-10-27 15:22:43,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:55:34,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:07:59,Microsoft Windows 10 Pro,8192,3408
2022-10-18 08:05:37,Microsoft Windows 10 Pro,8192,3408
2019-09-10 09:05:33,Microsoft Windows 7 Professional,1791,3100
2022-10-27 07:59:42,Microsoft Windows 10 Pro,8192,3408
2022-10-27 11:06:15,Microsoft Windows 7 Professional,4096,2933
2022-02-11 14:04:18,Microsoft Windows 10 Pro,8192,3408
2022-08-05 13:01:01,Microsoft Windows 10 Pro,8192,3408
2022-10-27 09:10:39,Microsoft Windows 10 Pro,8192,3408
2022-10-21 08:57:24,Microsoft Windows 8 Professional Edition,8081,3408
2021-07-01 14:14:14,Microsoft Windows 7 Professional,8192,3326
2022-10-27 07:08:59,Microsoft Windows 10 Pro,8192,3408
2022-10-26 18:08:45,Microsoft Windows 10 Pro,8192,3408
2022-08-05 06:37:30,Microsoft Windows 8 Professional Edition,8081,3408
2022-10-27 15:06:49,Microsoft Windows 10 Pro,8192,3408
2022-10-27 11:40:38,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:10:02,Microsoft Windows 10 Pro,8192,3408
2022-10-27 07:03:06,Microsoft Windows 10 Pro,8192,3408
2022-10-27 15:28:49,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:08:49,Microsoft Windows 10 Pro,8192,3408
2022-10-27 07:47:27,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:13:24,Microsoft Windows 10 Pro,8192,3408
2022-08-05 07:55:09,Microsoft Windows 10 Pro,8192,3408
2022-10-27 10:59:33,Microsoft Windows 10 Pro,8192,3408
2022-10-27 07:43:42,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:05:51,Microsoft Windows 10 Pro,8192,3408
2022-08-05 07:01:46,Microsoft Windows 10 Pro,8192,3408
2021-11-03 09:52:24,Microsoft Windows 10 Pro,8192,3408
2022-10-27 07:10:17,Microsoft Windows 10 Pro,8192,3408
2019-04-05 08:42:51,Microsoft® Windows Vista™ Business,2048,2933
2022-10-27 13:42:21,Microsoft Windows 10 Pro,8192,3408
2022-10-27 03:57:32,Microsoft Windows 10 Pro,8192,3408
2022-10-27 05:02:10,Microsoft Windows 10 Pro,8192,3408
2018-12-07 11:44:30,Microsoft Windows 10 Pro,8192,3408
2018-11-05 11:33:05,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:08:37,Microsoft Windows 8 Professional Edition,8081,3408
2022-10-27 14:11:35,Microsoft Windows 10 Pro,8192,3408
2022-10-27 09:23:26,Microsoft Windows 10 Pro,8192,3408
2022-10-27 10:48:00,Microsoft Windows 10 Pro,8192,3408
2022-08-05 07:49:34,Microsoft Windows 10 Pro,8192,3408
2022-10-06 07:03:59,Microsoft Windows 10 Pro,8192,3408
2022-08-04 23:28:57,Microsoft Windows 10 Pro,8192,3408
2022-08-05 06:38:54,Microsoft Windows 10 Pro,8192,3408
2022-08-05 15:33:11,Microsoft Windows 10 Pro,8192,3408
2020-12-23 17:57:18,Microsoft Windows 10 Pro,8192,3408
2022-10-27 09:31:29,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:07:55,Microsoft Windows 10 Pro,8192,2712
2022-10-27 08:01:19,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:54:10,Microsoft Windows 10 Pro,8192,3408
2022-10-14 18:08:08,Microsoft Windows 10 Pro,8192,3408
2022-10-26 07:08:29,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:45:16,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:16:20,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:08:01,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:08:55,Microsoft Windows 10 Pro,8192,3408
2022-10-27 09:55:04,Microsoft Windows 10 Pro,8192,3408
2022-10-27 07:09:10,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:58:35,Microsoft Windows 10 Pro,8192,3408
2022-10-27 15:23:15,Microsoft Windows 10 Pro,4096,3408
2022-10-27 08:11:21,Microsoft Windows 7 Professional,8192,3200
2022-10-27 15:21:11,Microsoft Windows 10 Pro,8192,3408
2022-10-25 08:56:32,Microsoft Windows 10 Pro,8192,3408
2018-10-26 15:12:30,Microsoft Windows 10 Pro,8192,3408
2022-10-27 12:28:51,Microsoft Windows 10 Pro,8192,3408
2022-10-27 12:01:51,Microsoft Windows 10 Pro,8192,3408
2022-10-27 15:22:11,Microsoft Windows 10 Pro,8192,3408
2022-10-25 10:33:25,Microsoft Windows 10 Pro,8192,3408
2022-01-21 14:29:36,Microsoft Windows 8.1 Pro,8192,3200
2022-06-24 12:48:31,Microsoft Windows 7 Professional,4096,2936
2022-10-27 14:12:33,Microsoft Windows 10 Pro,8192,3408
2019-07-24 14:13:37,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:12:18,Microsoft Windows 10 Pro,8192,3408
2022-10-27 07:43:06,Microsoft Windows 10 Pro,8192,3408
2022-10-26 09:42:14,Microsoft Windows 10 Pro,8192,3408
2021-09-16 10:31:28,Microsoft Windows 8.1 Pro,1502,3200
2018-11-26 13:45:37,Microsoft® Windows Vista™ Ultimate,2048,1795
2022-10-27 10:27:54,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:39:03,Microsoft Windows 10 Pro,8192,3408
2022-10-27 09:40:32,Microsoft Windows 10 Pro,8192,3408
2022-10-27 12:54:37,Microsoft Windows 10 Pro,8192,3408
2022-04-28 16:03:22,Microsoft Windows 7 Professional,2048,3192
2022-10-27 09:23:15,Microsoft Windows 10 Pro,8192,3408
2022-02-25 10:11:35,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:01:02,Microsoft Windows 10 Pro,8192,3408
2021-12-03 11:40:42,Microsoft Windows 7 Professional,2048,2133
2022-10-27 07:58:27,Microsoft Windows 10 Pro,8192,3408
2019-11-28 10:51:28,Microsoft Windows XP Professional,2048,2699
2022-10-27 07:57:48,Microsoft Windows 10 Pro,8192,3408
2019-09-17 11:58:03,Microsoft Windows 10 Pro,8192,3408
2022-10-27 09:57:05,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:38:07,Microsoft Windows 10 Pro,8192,3408
2022-10-26 17:24:49,Microsoft Windows 10 Pro,8192,3408
2022-10-25 11:19:35,Microsoft® Windows Vista™ Business,2048,2394
2022-10-27 15:23:23,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:26:30,Microsoft Windows 10 Pro,7320,3600
2020-11-06 13:26:47,Microsoft Windows 10 Pro,8192,3408
2022-10-27 10:45:22,Microsoft Windows 10 Pro,8192,3408
2022-10-27 14:03:16,Microsoft Windows 10 Pro,8192,3408
2022-10-27 15:12:09,Microsoft Windows 10 Pro,8192,3408
2018-11-12 09:06:42,Microsoft Windows 10 Pro,4096,3900
2019-03-25 08:06:55,Microsoft Windows 10 Pro,4096,3900
2022-10-27 09:20:40,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:11:48,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:37:37,Microsoft Windows 10 Pro,8192,3408
2022-10-27 13:36:24,Microsoft Windows 10 Pro,3505,3408
2018-11-12 07:30:48,Microsoft® Windows Vista™ Business,3072,2933
2022-10-21 08:19:10,Microsoft Windows 10 Pro,7319,3600
2021-08-23 08:18:47,Microsoft Windows 7 Professional,8192,3059
2022-10-27 08:32:24,Microsoft Windows 10 Pro,8192,3408
2018-11-30 14:18:51,Microsoft Windows 10 Pro,4096,3001
2018-12-13 09:24:18,Microsoft Windows 10 Pro,4096,3001
2019-03-06 15:50:30,Microsoft Windows 10 Pro,4096,3001
2019-03-08 09:11:27,Microsoft Windows 10 Pro,4096,3001
2019-03-18 08:57:15,Microsoft Windows 10 Pro,4096,3001
2019-06-13 14:02:37,Microsoft Windows 10 Pro,4096,3001
2019-06-17 13:55:28,Microsoft Windows 10 Pro,4096,3001
2019-07-31 15:09:38,Microsoft Windows 10 Pro,4096,3001
2019-08-07 08:36:44,Microsoft Windows 10 Pro,4096,3001
2019-08-12 08:35:05,Microsoft Windows 10 Pro,4096,3001
2019-08-12 13:53:42,Microsoft Windows 10 Pro,4096,3001
2019-08-12 14:05:33,Microsoft Windows 10 Pro,4096,3001
2019-08-12 15:45:53,Microsoft Windows 10 Pro,4096,3001
2019-08-13 08:38:33,Microsoft Windows 10 Pro,4096,3001
2019-08-21 13:22:59,Microsoft Windows 10 Pro,4096,3001
2019-08-30 08:39:24,Microsoft Windows 10 Pro,4096,3001
2019-09-05 08:45:47,Microsoft Windows 10 Pro,4096,3001
2019-09-25 08:41:21,Microsoft Windows 10 Pro,4096,3001
2019-10-30 15:03:58,Microsoft Windows 10 Pro,4096,3001
2019-11-06 12:17:49,Microsoft Windows 10 Pro,4096,3001
2020-01-15 09:11:15,Microsoft Windows 10 Pro,4096,3001
2020-01-16 09:08:07,Microsoft Windows 10 Pro,4096,3001
2020-01-28 09:19:27,Microsoft Windows 10 Pro,4096,3001
2020-03-06 08:51:34,Microsoft Windows 10 Pro,4096,3001
2020-12-04 15:17:07,Microsoft Windows 10 Pro,4096,3001
2021-04-12 11:34:39,Microsoft Windows 10 Pro,4096,3001
2021-04-15 09:13:14,Microsoft Windows 10 Pro,4096,3001
2021-04-28 16:12:10,Microsoft Windows 10 Pro,4096,3001
2021-05-04 16:03:28,Microsoft Windows 10 Pro,4096,3001
2021-05-24 11:06:39,Microsoft Windows 10 Pro,4096,3001
2021-06-16 13:50:28,Microsoft Windows 10 Pro,4096,3001
2021-06-24 09:27:28,Microsoft Windows 10 Pro,4096,3001
2021-06-28 10:52:18,Microsoft Windows 10 Pro,4096,3001
2021-07-28 08:32:17,Microsoft Windows 10 Pro,4096,3001
2021-08-16 08:11:59,Microsoft Windows 10 Pro,4096,3001
2021-09-13 08:51:17,Microsoft Windows 10 Pro,4096,3001
2021-09-15 11:07:12,Microsoft Windows 10 Pro,4096,3001
2022-10-27 14:02:40,Microsoft Windows 10 Pro,8192,3408
2022-10-27 10:27:48,Microsoft Windows 10 Pro,8192,3408
2020-04-13 12:44:16,Microsoft Windows 7 Professional,3550,3200
2022-10-27 09:06:11,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:35:08,Microsoft Windows 10 Pro,8192,3408
2022-10-27 11:35:39,Microsoft Windows 10 Pro,8192,3408
2022-10-27 09:05:39,Microsoft Windows 10 Pro,3505,3408
2022-10-21 16:49:19,Microsoft Windows 10 Pro,8192,3408
2022-10-27 07:30:24,Microsoft Windows 10 Pro,8192,3408
2020-11-16 14:05:03,Microsoft Windows 7 Professional,2941,2936
2022-10-27 09:58:28,Microsoft Windows 7 Professional,4096,2936
2022-10-27 09:11:14,Microsoft Windows 10 Pro,8192,3408
2022-09-21 11:41:46,Microsoft Windows 7 Professional,4096,2936
2022-10-27 14:38:29,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:03:27,Microsoft Windows 10 Pro,8192,3408
2022-10-27 08:03:38,Microsoft Windows 10 Pro,8192,3408
2022-10-27 07:17:55,Microsoft Windows 10 Pro,8192,3408
2022-10-27 12:05:30,Microsoft Windows 10 Pro,8192,3408
2018-12-07 11:08:05,Microsoft Windows 7 Professional,12288,3326
